Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng
-0.5781999999999999,-0.0196,9.6726,-0.3534,-0.4446,0.5852,114.0,1334.0,-163.0,30.65,1009.368828125,32.36363534014229,0.0,0.0
-0.5684,-0.0294,9.662799999999999,-0.6194,-0.7752,0.038,109.0,1335.0,-158.0,30.65,1009.338828125,32.61418622109425,0.0,0.0
-0.5684,-0.0294,9.662799999999999,-0.5586,0.684,-1.4858,109.0,1332.0,-156.0,30.65,1009.3484765625,32.53360474612948,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,0.1938,0.1558,-0.0038,115.0,1341.0,-157.0,30.64,1009.354609375,32.482385266423144,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.2774,0.0912,0.3192,115.0,1335.0,-157.0,30.64,1009.3275390625,32.70847060101176,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,0.0646,-0.5472,-0.3002,110.0,1333.0,-157.0,30.65,1009.3281640625,32.703250682219135,0.0,0.0
-0.5781999999999999,-0.0294,9.662799999999999,0.3306,0.1406,-1.0146,116.0,1331.0,-157.0,30.65,1009.338828125,32.61418622109425,0.0,0.0
-0.5684,-0.0294,9.662799999999999,0.2546,0.494,-0.6916,113.0,1334.0,-156.0,30.65,1009.359140625,32.670952492878655,0.0,0.0
-0.5684,-0.0294,9.6726,-0.133,1.3718,-0.418,112.0,1337.0,-159.0,30.65,1009.33203125,32.670952492878655,0.0,0.0
-0.5781999999999999,-0.0098,9.662799999999999,0.2356,-0.646,0.9462,112.0,1331.0,-156.0,30.65,1009.3281640625,32.703250682219135,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.0228,0.0266,0.076,113.0,1334.0,-155.0,30.65,1009.3059375,32.88888565278819,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,-0.3458,-0.0456,-0.1444,110.0,1336.0,-152.0,30.65,1009.3049609375,32.8970419224804,0.0,0.0
-0.5781999999999999,-0.0196,9.653,0.095,0.3534,-0.551,110.0,1336.0,-152.0,30.65,1009.30109375,32.92934081323521,0.0,0.0
-0.5684,-0.0196,9.662799999999999,0.0076,-0.4978,0.4294,115.0,1333.0,-153.0,30.65,1009.3398046875,32.606030172988085,0.0,0.0
-0.5684,-0.0196,9.6726,-0.1216,-0.0456,-0.1406,113.0,1330.0,-163.0,30.65,1009.3455859375,32.557746499102215,0.0,0.0
